------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL-15 kW Reference Turbine
======  Blade Properties =================================================================
16          NumBlNds    - Number of blade nodes used in the analysis (-)
 BlSpn       BlCrvAC     BlSwpAC      BlCrvAng     BlTwist     BlChord   BlAFID   BlCb     BlCenBn     BlCenBt
  (m)         (m)         (m)          (deg)       (deg)         (m)       (-)     (-)       (m)        (m)
 0.0000      0.00         0.00          0.00        0.0         0.355       2      0.00      0.00       0.00
 0.2086      0.00         0.00          0.00       16.25        0.355       2      0.00      0.00       0.00
 0.4763      0.00         0.00          0.00       16.25        0.355       2      0.00      0.00       0.00
 0.7967      0.00         0.00          0.00       15.50        0.355       2      0.00      0.00       0.00
 1.1171      0.00         0.00          0.00       12.30        0.350       2      0.00      0.00       0.00
 1.4375      0.00         0.00          0.00        8.40        0.310       2      0.00      0.00       0.00
 1.7579      0.00         0.00          0.00        5.75        0.250       2      0.00      0.00       0.00
 2.0783      0.00         0.00          0.00        3.80        0.205       2      0.00      0.00       0.00
 2.3987      0.00         0.00          0.00        2.40        0.180       2      0.00      0.00       0.00
 2.7191      0.00         0.00          0.00        1.55        0.160       3      0.00      0.00       0.00
 3.0395      0.00         0.00          0.00        1.10        0.150       3      0.00      0.00       0.00
 3.3599      0.00         0.00          0.00        1.00        0.145       4      0.00      0.00       0.00
 3.6803      0.00         0.00          0.00        1.00        0.140       5      0.00      0.00       0.00
 4.0007      0.00         0.00          0.00        1.00        0.130       6      0.00      0.00       0.00
 4.3211      0.00         0.00          0.00        1.00        0.115       6      0.00      0.00       0.00
 4.6415      0.00         0.00          0.00        1.00        0.070       6      0.00      0.00       0.00
